0100030208|0000|1990|01|A|1|5000
0100030208|0000|1990|03|G|1|6512
0100030208|0000|1990|68|G|1|5000
0100030704|0000|1990|01|A|1|5000
0100030704|0000|1990|01|C|1|10000
0100030704|0000|1990|01|B|1|8267
0100030704|0000|1990|02|B|1|23267
0100030704|0000|1990|03|G|1|5000
0100030704|0000|1990|03|B|1|18267
0100030704|0000|1990|68|G|1|5000
0100030704|0000|1990|68|B|1|18267
0100030705|0000|1990|01|A|1|5000
0100030705|0000|1990|03|G|1|12522
0100030705|0000|1990|68|G|1|6261
0100030708|0000|1990|01|A|1|5000
0100030708|0000|1990|01|C|1|10000
0100030708|0000|1990|01|B|1|22658
0100030708|0000|1990|02|B|1|37658
0100030708|0000|1990|03|G|1|7532
0100030708|0000|1990|03|B|1|30126
0100030708|0000|1990|68|G|1|5000
0100030708|0000|1990|68|B|1|32658
0100030709|0000|1990|01|A|1|5000
0100030709|0000|1990|03|G|1|9817
0100030709|0000|1990|68|G|1|5000
0100030710|0000|1990|01|A|1|5000
0100030710|0000|1990|03|G|1|6866
0100030710|0000|1990|68|G|1|5000
0100030712|0000|1990|01|A|1|5000
0100030712|0000|1990|01|F|1|10000
0100030712|0000|1990|01|E|1|15000
0100030712|0000|1990|02|E|1|51000
0100030712|0000|1990|03|G|1|14241
0100030712|0000|1990|03|E|1|50000
0100030712|0000|1990|68|G|1|7121
0100030712|0000|1990|68|E|1|64086
0100030720|0000|1990|01|A|1|5000
0100030720|0000|1990|03|G|1|6702
0100030720|0000|1990|68|G|1|5000
0100030722|0000|1990|01|A|1|5000
0100030722|0000|1990|03|G|1|10895
0100030722|0000|1990|68|G|1|5448
0100030803|0000|1990|01|A|1|5000
0100030803|0000|1990|03|G|1|5753
0100030803|0000|1990|68|G|1|5000
0100030804|0000|1990|01|A|1|5000
0100030804|0000|1990|01|C|1|10000
0100030804|0000|1990|01|B|1|7596
0100030804|0000|1990|02|B|1|22596
0100030804|0000|1990|03|G|1|5000
0100030804|0000|1990|03|B|1|17596
0100030804|0000|1990|68|G|1|5000
0100030804|0000|1990|68|B|1|17596
0100030808|0000|1990|01|A|1|5000
0100030808|0000|1990|01|C|1|10000
0100030808|0000|1990|01|B|1|11915
0100030808|0000|1990|02|B|1|26915
0100030808|0000|1990|03|G|1|5383
0100030808|0000|1990|03|B|1|21532
0100030808|0000|1990|68|G|1|5000
0100030808|0000|1990|68|B|1|21915
0100030809|0000|1990|01|A|1|5000
0100030809|0000|1990|01|F|1|10000
0100030809|0000|1990|01|E|1|15000
0100030809|0000|1990|02|E|1|40184
0100030809|0000|1990|03|G|1|8037
0100030809|0000|1990|03|E|1|32147
0100030809|0000|1990|68|G|1|5000
0100030809|0000|1990|68|E|1|35184
0100030817|0000|1990|01|A|1|5000
0100030817|0000|1990|01|C|1|10000
0100030817|0000|1990|01|B|1|16365
0100030817|0000|1990|02|B|1|31365
0100030817|0000|1990|03|G|1|6273
0100030817|0000|1990|03|B|1|25092
0100030817|0000|1990|68|G|1|5000
0100030817|0000|1990|68|B|1|26365
0100030818|0000|1990|01|A|1|5000
0100030818|0000|1990|03|G|1|7453
0100030818|0000|1990|68|G|1|5000
0100030820|0000|1990|01|A|1|5000
0100030820|0000|1990|03|G|1|6156
0100030820|0000|1990|68|G|1|5000
0100030821|0000|1990|01|A|1|5000
0100030821|0000|1990|01|C|1|10000
0100030821|0000|1990|01|B|1|14716
0100030821|0000|1990|02|B|1|29716
0100030821|0000|1990|03|G|1|5943
0100030821|0000|1990|03|B|1|23773
0100030821|0000|1990|68|G|1|5000
0100030821|0000|1990|68|B|1|24716
0100030822|0000|1990|01|A|1|5000
0100030822|0000|1990|01|C|1|10000
0100030822|0000|1990|01|B|1|16060
0100030822|0000|1990|02|B|1|31060
0100030822|0000|1990|03|G|1|6212
0100030822|0000|1990|03|B|1|24848
0100030822|0000|1990|68|G|1|5000
0100030822|0000|1990|68|B|1|26060
0100031012|0000|1990|01|A|1|5000
